id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5032594863033921,OdFWmcJgd,3217372415,江川社情,【#1200名奥运会资格系列赛·上海志愿者就位#】5月16日-19日，2024年奥运会资格系列赛·上海将在黄浦滨江举行，距比赛开赛一周之际，5月9日下午，奥运会资格系列赛·上海志愿者上岗仪式在赛地举行。经过多轮面试，确定来自@复旦大学、@华东理工大学、@上海外国语大学、@上海财经大学、上海交通大学医学院等14所高校的800余位学生志愿者和400余名社会志愿者即将走上志愿者工作岗位。#青春加油站#L青春上海的微博视频,,,"复旦大学,华东理工大学,上海外国语大学,上海财经大学","1200名奥运会资格系列赛·上海志愿者就位,青春加油站",5,3,4,2024-05-10 21:26,微博视频号,,"http://f.video.weibocdn.com/o0/LjDBUHYflx08eK0Npd6o01041200ercH0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1749215627&ssig=4jFC7E41OD&KID=unistore,video",,,蓝V,非会员,0
5032513687260758,OdDPqusR0,5881361901,猫猫喵猫喵猫猫,没办法，继续往前吧,,上海·中科院上海药物研究所II期,,,0,8,6,2024-05-10 16:03,HUAWEI Mate 30 5G,https://wx3.sinaimg.cn/large/006q1ATPgy1hpkhbqltnwj30ir08fgor.jpg,,,上海,普通用户,非会员,0
5032566643499211,OdFcQeGiT,6388622847,贝贝漫南瓜,上海交通大学考研超话复旦本科，上海交通大学24年考研上岸，专业代码849，可接考研答疑与辅导，需要私信,,,,,0,9,2,2024-05-10 19:34,上海交通大学考研超话,,,,湖北,普通用户,非会员,0
5032495611383041,OdDmh5NN7,6586299098,芳香烃味的黄焖鸡,上交，我梦中的母校,,,,,0,7,5,2024-05-10 14:51,iPhone客户端,"https://wx3.sinaimg.cn/large/007bJrgCly1hpkf1l1s3uj33402c0npd.jpg,https://wx3.sinaimg.cn/large/007bJrgCly1hpkf1oz6fvj32c0340hdw.jpg,https://wx1.sinaimg.cn/large/007bJrgCly1hpkf1u92kpj32c0340b2a.jpg,https://wx2.sinaimg.cn/large/007bJrgCly1hpkf233g4qj32c0340npg.jpg,https://wx2.sinaimg.cn/large/007bJrgCly1hpkf6k3zbsj32c03404qr.jpg,https://wx4.sinaimg.cn/large/007bJrgCly1hpkf6puyr6j32c0340hdu.jpg,https://wx1.sinaimg.cn/large/007bJrgCly1hpkf6upuhrj32c0340e82.jpg,https://wx2.sinaimg.cn/large/007bJrgCly1hpkf74s8g2j32c0340npg.jpg,https://wx1.sinaimg.cn/large/007bJrgCly1hpkf7cee2dj32c03407wj.jpg",,,浙江,普通用户,非会员,0
5032522025799305,OdE2SokFb,2613324761,中国教育在线,#一起上大学#2024年5月中国内地高校ESI排名200强出炉！从国际排名来看，中国科学院大学依旧稳居中国内地高校第1宝座，目前位居全球第17名；清华大学位居国内高校第2名，国际排名为第34位。排在国内高校第3位的是上海交通大学，目前位居全球第40名，紧随其后的是浙江大学(国际排名41位)、北京大学(国际排名50位)。国际排名前200的高校还有中山大学、华中科技大学、复旦大学、中国科学技术大学、中南大学、南京大学、四川大学、武汉大学、西安交通大学、哈尔滨工业大学、山东大学、天津大学、吉林大学、华南理工大学、同济大学。本次中国内地高校ESI200强中，部分高校进步十分明显。其中进步最大的是香港中文大学(深圳)，排名上升了161个位次，其次为成都理工大学、中北大学和北京工商大学，国际排名分别上升了145、144、140个位次。#教育有料#,,,,"一起上大学,教育有料",6,0,3,2024-05-10 16:36,微博网页版,"https://wx2.sinaimg.cn/large/9bc42bd9ly1hpki9m0an9j20t23vhx6p.jpg,https://wx2.sinaimg.cn/large/9bc42bd9ly1hpkiav9mtpj20t23ps7wi.jpg",,,北京,蓝V,非会员,0
5032609497484556,OdGjXvp4E,7187348607,玫瑰与洋桔梗_momo,文化产业管理超话24考研上海交通大学文化产业管理（上交文管）初试复试第一已上岸，出640和877备考笔记，可答疑，欢迎咨询～,,,,,0,5,6,2024-05-10 22:24,文化产业管理超话,https://wx3.sinaimg.cn/large/007QpnHxly1hpksbq9v2aj30ts0bcmyr.jpg,,,山东,普通用户,非会员,0
5032511191386018,OdDLp5Oz8,5939990920,深柳斋,中国向巴基斯坦交接嫦娥六号任务巴基斯坦立方星数据5月10日，中国国家航天局在京举办嫦娥六号任务巴基斯坦立方星数据交接仪式。中国国家航天局局长张克俭向巴基斯坦驻华大使卡里尔·哈什米交接数据，并共同为嫦娥六号任务巴基斯坦立方星拍摄的首幅影像揭幕，中国国家航天局总工程师李国平主持。国家航天局国际合作司、探月与航天工程中心、中国科学院国家天文台、上海交通大学、巴基斯坦空间和外大气层研究委员会及亚太空间合作组织等单位代表出席。仪式上，国家航天局探月与航天工程中心作为工程总体作嫦娥六号任务情况报告，巴基斯坦空间技术研究所作载荷研制及国际合作情况报告，上海交通大学作为该载荷中方责任单位报告了合作研制情况。5月8日16时14分，嫦娥六号任务搭载的国际载荷之一巴基斯坦立方星与轨道器在周期12小时环月大椭圆轨道的远月点附近分离，随后成功拍摄第一幅影像。巴基斯坦立方星项目实现“成功分离，获得遥测”的既定目标，取得圆满成功。巴基斯坦空间技术研究所和上海交通大学于2023年初启动巴基斯坦立方星联合研制，2024年按计划完成与探测器的总装、测试和发射场准备，5月3日随嫦娥六号探测器发射升空。巴基斯坦立方星项目成功验证了纳卫星月球轨道探测技术，探索了中巴月球与深空探测任务合作模式，为后续任务中双方更深入的合作奠定了基础。（李仪杨璐）图4/2024年5月8日16:27，巴基斯坦立方星拍摄的首幅图像，亮光处为太阳。图5/2024年5月8日19:56，巴基斯坦立方星拍摄的首幅月球图像。图6/2024年5月9日14:38，巴基斯坦立方星拍摄的日月合影，左侧为月球，右侧为太阳。来源：国家航天局网站,,,,,0,3,10,2024-05-10 15:53,微博网页版,"https://wx1.sinaimg.cn/large/006tZAZagy1hpkgzx2c95j30qs0frjyo.jpg,https://wx1.sinaimg.cn/large/006tZAZagy1hpkh01sj5zj33h01ybqv6.jpg,https://wx1.sinaimg.cn/large/006tZAZagy1hpkh059b3bj33h02bc000.jpg,https://wx4.sinaimg.cn/large/006tZAZagy1hpkh07q2epj30fe08omxr.jpg,https://wx2.sinaimg.cn/large/006tZAZagy1hpkh0adxlxj30fe08o0tf.jpg,https://wx1.sinaimg.cn/large/006tZAZagy1hpkh0ckte9j30fe08odgh.jpg",,,江苏,金V,超级会员,2
5032384317096448,OdAsLtM6Q,1259215934,股票投资人黄祖斌,上海交通大学毕业的你，现在怎么样了？三年吃素换不延毕74人赞同了该回答不是我，是我爸，40年前的上交王牌专业毕业生，混到现在了都连一套上海的房子都买不起看到大家都这么感兴趣，讲一下我爹室友的现状吧室友1：上海本地人，毕业后直接进了央企，现在是某央企的二把手室友2：中产家庭出身，父母眼光不错，上交本科毕业后去美国留学，已定居美国近况不详室友3：精神有点问题，也不和室友们交流，衣服每个月寄回家让妈妈洗了再寄过来，没有留下联系方式不知近况我爹：西部农村出身，爷爷奶奶都是农民，毕业之后对自己的人生也没有清晰的规划，毕业后强行被爷奶召唤回家，西部没有什么工作机会，找了一个私企老板居然让他去干推销机器的工作，后来干了几年实在是觉得志不在此，去沿海地区投了一个设计院顺利上岸，一直干到现在。社会底层里这种破事很多，尤其是一些落后省，非要子女回穷地方呆着，傻儿子傻女儿还真就愿意盲从。,,,,,3,0,8,2024-05-10 07:29,微博网页版,,,,江苏,黄V,非会员,0
5032453448404032,OdCggzggU,5892437306,随申Hi,【#专科姑娘用7年逆袭成为上海交大研究生#】专科→藏区战士→专升本→本科→研究生上岸。今年9月温州医科大学药学院学生安梦园将开启上海交通大学的硕士生活，这是她过去7年青春时光的最新注脚。2017年安梦园还是一名专科院校医学生，和所有新生一样也面临过迷茫。2018年安梦园坐上了前往西藏的青春列车，“梦圆”卫国戍边，多次参与医疗救助和义诊活动。2020年安梦园退伍归校，全力以赴备考“专升本”，2022年她“梦圆”温州医科大学药学院，在校期间她专业成绩排名第二，还荣获浙江省优秀毕业生。之后又考研备战，最终“梦圆”上海交通大学药学院。（来源：温州日报）L中国蓝新闻的微博视频,,,,专科姑娘用7年逆袭成为上海交大研究生,2,1,8,2024-05-10 12:04,微博视频号,,"http://f.video.weibocdn.com/o0/yX7Cm6gxlx08eIT7uj3q0104120058CR0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1749215788&ssig=WpDKSa45Sv&KID=unistore,video",,,普通用户,非会员,0
5032466968481388,OdCC4zAoA,5377696338,王多喜-,上海交通大学超话求租闵行校区校园卡，有偿！！,,,,,0,7,0,2024-05-10 12:58,上海交通大学超话,,,,上海,普通用户,会员,6
